disease,allowed_foods,restricted_foods,max_calories,max_sodium,max_sugar,max_carbs,max_gi
SIBO (Hydrogen Indian),Fish|Chicken|Carrots|White Rice|Eggs,Beans|Onions|Garlic|Wheat|Milk|Sugar,650,800,10,70,55
Oral Thrush (Indian Diet),Curd|Garlic|Lean Meat|Leafy Greens|Turmeric,Sugar|Jaggery|Maida|Honey|Sweet Fruit,600,750,0,50,40
Gingivitis (Pediatric Indian),Amla Juice|Citrus|Yogurt|Green Tea|Water,Sticky Candy|Soda|Jaggery|White Bread,650,700,10,80,60
Gastritis (Acute Indian),Coconut Water|Kanji|Banana|Toast|Chicken,Spices|Coffee|Alcohol|Tomato|Fried Snacks,550,550,20,90,65
Gastritis (Chronic Indian),Oatmeal|Fish|Cooked Veggies|Ginger|Melon,Chili|Pepper|Caffeine|Citrus|Raw Onions,600,600,15,95,60
Barrett’s Esophagus (Indian),Oatmeal|Melon|Ginger|Chicken|Rice,Fried Food|Citrus|Caffeine|Chocolate|Alcohol,600,700,15,85,60
IBS-D (Indian),Rice|Oats|Bananas|Curd|Carrots|Boiled Eggs,Caffeine|Alcohol|Spicy Chili|Fried Food,600,850,15,100,60
IBS-C (Indian),Chia Seeds|Oats|Pears|Prunes|Papaya|Wheat,Cheese|White Rice|Red Meat|Processed Food,750,800,30,125,65
Celiac Disease (Indian),Rice|Jowar|Bajra|Corn|Eggs|Pulses,Wheat|Maida|Sooji|Semolina|Barley,750,800,25,120,70
Rheumatoid Arthritis (Indian),Salmon|Walnuts|Ginger|Turmeric|Berries,Sugar|Fried Food|MSG|Red Meat|Oil,650,600,15,80,55
Osteoporosis (Indian),Yogurt|Ragi|Paneer|Almonds|Milk|Sardines,Salt|Caffeine|Soda|Pickles|Papad,750,550,25,100,65
Anemia (Iron Def Indian),Red Meat|Spinach|Lentils|Pomegranate|Dates,Tea (with meals)|Coffee|Calcium,750,800,25,110,60
Anemia (B12 Def Indian),Eggs|Milk|Salmon|Paneer|Chicken|Liver,Alcohol (excessive)|Vegan Diet,750,800,20,100,60
Anemia (Folate Def Indian),Asparagus|Spinach|Beans|Citrus|Liver,Alcohol|Overcooked Vegetables,750,800,30,115,65
Hyponatremia (Indian Diet),Salted Broth|Pretzels|Eggs|Chicken|Papad,Plain Water (Excess)|Plain Rice,850,3200,20,115,70
Hypomagnesemia (Indian Diet),Spinach|Almonds|Black Beans|Avocado|Dark Chocolate,Alcohol|Excessive Sugar,700,800,20,115,60
ALS (Indian High Calorie),Smoothies|Avocado|Paneer|Pasta|Eggs|Ghee,Thin Liquids|Dry Foods (choking risk),1000,1000,45,150,70
Meniere’s Disease (Indian),Vegetables|Fruits|Unsalted Grains|Chicken,Table Salt|Caffeine|Alcohol|MSG|Papad,650,450,20,85,60
Post-Cholecystectomy (Indian),Rice|Toast|Skinless Chicken|Mashed Lauki,Fried Pakoras|Greasy Gravy|Spicy Sauce,550,700,15,90,65
Hemorrhoids (High Fiber Indian),Oats|Prunes|Water|Beans|Papaya|Whole Wheat,Cheese|Processed Meat|Spicy Food|Maida,750,800,35,125,65
Benign Prostatic Hyperplasia,Tomatoes|Soy|Berries|Nuts|Fish|Seeds,Red Meat|Dairy|Salt|Alcohol|Chillies,650,700,20,95,60
Parkinson's (Indian Protein),Whole Grains|Fiber|Berries|Beans|Fish,High Protein (at Night)|Milk|Heavy Fats,750,700,20,100,60
SIBO (Methane Dominant),Chicken|Eggs|Rice|Zucchini|Karela|Tofu,Dairy|Beans|Onions|Garlic|Sugar|Complex Carbs,650,800,10,75,55
Hypocalcemia (Ragi Diet),Ragi|Paneer|Milk|Almonds|Spinach|Tofu,High Phytic Acid|Soda|Caffeine|Salt,800,700,25,100,65
Gastritis (Chronic Indian Diet),Oatmeal|Fish|Cooked Veggies|Ginger|Melon|Curd,Chili|Pepper|Caffeine|Citrus|Onion,600,650,15,100,60
Diabetes (Indian T2D),Ragi|Jowar|Moong Dal|Methi|Karela|Fish,Sugar|Jaggery|White Rice|Maida|Potato,550,800,5,55,50
Hypertension (Indian Low Salt),Lauki|Torai|Garlic|Curd|Banana|Oats,Table Salt|Pickles|Papad|Processed Snacks,650,400,20,95,60
PCOS (Indian Diet),Cinnamon|Buckwheat|Salmon|Seeds|Spinach|Methi,Sugar|White Rice|Potatoes|Refined Flour,550,750,8,55,45
Post-Jaundice (Indian Stage),Papaya|Boiled Rice|Mashed Potatoes|Curd|Honey,Oil|Spices|Butter|Fried Food|Chillies,750,500,30,130,70
Kidney Stones (Indian Low Oxalate),Dairy|Lemons|Water|Rice|Fish|Cauliflower,Spinach|Cholai|Beets|Nuts|Chocolate,700,600,25,110,65
